filename,original_lines,cleaned_lines,original_chars,cleaned_chars,chars_removed,transforms_applied,status
article_01.txt,17,17,1361,1361,0,normalize_quotes,changed
article_02.txt,66,65,6357,6356,1,strip_trailing_whitespace|normalize_quotes,changed
article_03.txt,20,19,597,596,1,strip_trailing_whitespace,changed
article_04.txt,44,43,3414,3413,1,strip_trailing_whitespace,changed
article_05.txt,20,19,1841,1840,1,strip_trailing_whitespace|normalize_quotes,changed
article_06.txt,22,21,1288,1287,1,strip_trailing_whitespace|normalize_quotes,changed
article_07.txt,26,25,1444,1443,1,strip_trailing_whitespace,changed
article_08.txt,24,23,1708,1707,1,strip_trailing_whitespace|normalize_quotes,changed
article_09.txt,16,15,1158,1157,1,strip_trailing_whitespace,changed
article_10.txt,146,145,4254,4253,1,strip_trailing_whitespace|normalize_quotes,changed
article_11.txt,38,37,1933,1932,1,strip_trailing_whitespace|normalize_quotes,changed
article_12.txt,20,19,1262,1261,1,strip_trailing_whitespace|normalize_quotes,changed
article_13.txt,62,61,3396,3395,1,strip_trailing_whitespace|normalize_quotes,changed
article_14.txt,16,15,1228,1227,1,strip_trailing_whitespace,changed
article_15.txt,62,61,3029,3028,1,strip_trailing_whitespace,changed
article_16.txt,32,31,1532,1531,1,strip_trailing_whitespace|normalize_quotes,changed
article_17.txt,16,15,948,947,1,strip_trailing_whitespace|normalize_quotes,changed
article_18.txt,37,36,1023,1022,1,strip_trailing_whitespace,changed
article_19.txt,30,29,2140,2139,1,strip_trailing_whitespace|normalize_quotes,changed
article_20.txt,44,43,2833,2832,1,strip_trailing_whitespace|normalize_quotes,changed
